"Dernière actualisation des données";"14.02.2025 08:52:56"
"Utilisateur actuel";"Mühlberg, Jan Tobias"
"Exercice comptable";"2025"
"";"";"";"";"";"";"";"Ressources         (1)";"Dépenses       (2)";"Engagements           (3)";" Solde disponible (4) = (1) + (2) + (3)";"Reliquat       (5)";"Transfert       (6)";"     Solde (7) = (5) + (6)"
"Centre financier";"Centre financier";"Date de début";"Date de fin";"Responsable";"Type de projet";"";"";"EUR";"EUR";"EUR";"";"";""
"1041H000032";"FONDS D'INSTAL 2023";"02.01.2023";"31.01.2025";"Mühlberg J.";"34";"FONCTIONNEMENT";"";"-1.398,11";"-3.339,03";"-4.737,14";"";"";""
"1041H000032";"FONDS D'INSTAL 2023";"02.01.2023";"31.01.2025";"Mühlberg J.";"Résultat";"Résultat";"";"-1.398,11";"-3.339,03";"-4.737,14";"";"";""
"1041H000035";"FONDS D'INSTALLATION";"09.10.2023";"30.06.2026";"Mühlberg J.";"34";"FONCTIONNEMENT";"";"";"-39,14";"-39,14";"";"";""
"1041H000035";"FONDS D'INSTALLATION";"09.10.2023";"30.06.2026";"Mühlberg J.";"Résultat";"Résultat";"";"";"-39,14";"-39,14";"";"";""
"4149H000148";"2024-RPF-2a MImPG Mu";"01.10.2024";"30.09.2027";"Mühlberg Jan Tobias";"P";"4. Frais de Personnel";"";"-3.011,02";"";"-3.011,02";"";"";""
"4149H000148";"2024-RPF-2a MImPG Mu";"01.10.2024";"30.09.2027";"Mühlberg Jan Tobias";"Résultat";"Résultat";"";"-3.011,02";"";"-3.011,02";"";"";""
"4149H000149";"2024-RPF-4c SDM-Mühl";"01.10.2024";"30.09.2027";"Mühlberg Jan Tobias";"P";"4. Frais de Personnel";"";"-5.519,11";"";"-5.519,11";"";"";""
"4149H000149";"2024-RPF-4c SDM-Mühl";"01.10.2024";"30.09.2027";"Mühlberg Jan Tobias";"Résultat";"Résultat";"";"-5.519,11";"";"-5.519,11";"";"";""
"4R00H000258";"SUMMER  SCHOOL  SICT";"01.01.2024";"30.09.2025";"Mühlberg J.";"03";"Réserves";"";"-1.175,54";"";"-1.175,54";"";"";""
"4R00H000258";"SUMMER  SCHOOL  SICT";"01.01.2024";"30.09.2025";"Mühlberg J.";"Résultat";"Résultat";"";"-1.175,54";"";"-1.175,54";"";"";""

